Date,AAPL,AMGN,AMZN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,GS,HD,HON,IBM,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,NVDA,PG,SHW,TRV,UNH,V,VZ,WMT
2023-01-17,133.67132568359375,241.2830047607422,96.05000305175781,147.8374786376953,211.41000366210938,242.44837951660156,145.94508361816406,43.92124557495117,156.1459197998047,97.61131286621094,321.4101867675781,299.2181701660156,185.5834503173828,128.44908142089844,155.60720825195312,130.4741668701172,55.614776611328125,252.60101318359375,93.77863311767578,99.34394073486328,233.69696044921875,119.64495086669922,17.66275405883789,137.4486541748047,240.0211181640625,173.41261291503906,453.07940673828125,217.1175537109375,32.83211898803711,46.22442626953125
2023-01-18,132.9534912109375,236.77828979492188,95.45999908447266,144.6355438232422,209.41000366210938,239.19378662109375,142.9764404296875,42.843318939208984,153.3256378173828,96.76132202148438,320.6477966308594,295.7100830078125,178.5882568359375,124.2202377319336,153.25994873046875,126.55439758300781,53.92866134643555,245.16421508789062,90.92675018310547,97.8508529663086,229.28260803222656,118.04830932617188,17.33847427368164,133.76663208007812,236.60194396972656,172.12843322753906,444.8226318359375,213.67095947265625,32.124847412109375,45.08169937133789
2023-01-19,133.0125274658203,234.66477966308594,93.68000030517578,141.20285034179688,207.08999633789062,233.61367797851562,143.92010498046875,42.441375732421875,154.85691833496094,96.80040740966797,322.172607421875,284.0074157714844,175.45785522460938,124.4059829711914,153.05226135253906,124.86783599853516,53.847503662109375,242.89724731445312,87.72673797607422,98.84925079345703,225.50999450683594,116.27426147460938,16.72783088684082,130.93772888183594,226.9836883544922,172.51271057128906,452.406982421875,214.59588623046875,32.19718551635742,44.43832015991211
2023-01-20,135.569091796875,235.74839782714844,97.25,145.77017211914062,206.75999450683594,237.37814331054688,148.67779541015625,42.73369598388672,156.5006103515625,101.09918212890625,313.988525390625,287.771240234375,176.6558074951172,124.91912841796875,152.33908081054688,125.17363739013672,54.17211151123047,247.50486755371094,89.37120056152344,98.88520050048828,233.570556640625,118.22572326660156,17.799449920654297,131.44342041015625,237.60926818847656,173.72195434570312,454.61126708984375,218.3930206298828,32.148956298828125,44.985679626464844
2023-01-23,138.75502014160156,233.71543884277344,97.5199966430664,148.07785034179688,209.97000122070312,240.220458984375,153.21923828125,43.39141845703125,156.29299926757812,103.25833129882812,320.69378662109375,288.20977783203125,178.78057861328125,125.50299835205078,151.9508819580078,127.2030258178711,54.3073616027832,248.1591339111328,90.83045196533203,98.83125305175781,235.86524963378906,119.78500366210938,19.150453567504883,129.6781768798828,238.31637573242188,174.68743896484375,453.7613525390625,218.26644897460938,31.851579666137695,45.657859802246094
2023-01-24,140.1513214111328,232.578125,96.31999969482422,149.35671997070312,211.97999572753906,244.88796997070312,152.22637939453125,43.67460250854492,156.4400634765625,103.56119537353516,319.9497375488281,290.2287292480469,180.94036865234375,125.17566680908203,151.9508819580078,128.29649353027344,54.59589385986328,248.4080047607422,85.18596649169922,97.60802459716797,235.3401641845703,118.4217758178711,19.2222900390625,130.38609313964844,241.53213500976562,181.14590454101562,459.16937255859375,217.98410034179688,32.48651885986328,45.77949905395508
2023-01-25,139.4925079345703,229.74810791015625,97.18000030517578,150.74136352539062,212.67999267578125,245.67697143554688,153.51414489746094,43.82990646362305,154.9261016845703,105.6324234008789,321.1438293457031,289.83587646484375,180.71302795410156,124.52987670898438,153.0342254638672,128.91734313964844,54.93852996826172,251.57806396484375,83.65261840820312,97.67097473144531,233.94976806640625,118.41246032714844,19.280160903930664,130.29417419433594,239.33343505859375,178.79310607910156,460.010009765625,218.9674530029297,32.414188385009766,45.56183624267578
2023-01-26,141.55747985839844,228.261474609375,99.22000122070312,149.88558959960938,212.72999572753906,249.1752471923828,162.2824249267578,44.15876770019531,162.4613037109375,107.17606353759766,326.0487365722656,286.6841125488281,183.056396484375,118.94742584228516,152.47451782226562,129.71429443359375,54.8303337097168,253.1630859375,84.11186981201172,96.1239242553711,241.1351776123047,119.07537078857422,19.75809669494629,129.77011108398438,217.99497985839844,180.07725524902344,459.9913024902344,218.782470703125,32.36595916748047,45.52021408081055
2023-01-27,143.4945831298828,227.15988159179688,102.23999786376953,165.6837158203125,211.1699981689453,251.47572326660156,161.72213745117188,44.314056396484375,155.24620056152344,107.01974487304688,324.8822326660156,289.3152160644531,181.98963928222656,118.89434051513672,151.87863159179688,130.02935791015625,54.54179763793945,251.08041381835938,85.37115478515625,94.78372192382812,241.29074096679688,119.07537078857422,20.319849014282227,129.23690795898438,221.36572265625,176.93710327148438,453.9853820800781,225.33494567871094,32.66334533691406,45.86912536621094
2023-01-30,140.6134796142578,225.3150634765625,100.55000305175781,166.0203094482422,209.6699981689453,248.5858612060547,161.94821166992188,44.04914474487305,150.7042999267578,105.11461639404297,328.33587646484375,287.076904296875,179.93479919433594,119.69942474365234,146.254150390625,128.9266357421875,54.677040100097656,249.633544921875,83.39335632324219,95.42233276367188,235.9916229248047,117.99227905273438,19.119516372680664,129.64137268066406,223.63230895996094,176.1403350830078,453.7425842285156,223.05667114257812,32.992862701416016,45.50102233886719
